arg1_rel,arg2_rel,arg1,arg2,text,text_pl
Component,Whole,e2,e1,The system as described above has its greatest application in an arrayed <e1>configuration</e1> of antenna <e2>elements</e2>.,Opisany powyżej system ma największe zastosowanie w uporządkowanej <e1>konfiguracji</e1> <e2>elementów</e2> anteny.
Other,Other,,,The <e1>child</e1> was carefully wrapped and bound into the <e2>cradle</e2> by means of a cord.,<e1>Dziecko</e1> zostało starannie owinięte i przywiązane do <e2>kołyski</e2> za pomocą sznurka.
Instrument,Agency,e2,e1,The <e1>author</e1> of a keygen uses a <e2>disassembler</e2> to look at the raw assembly code.,<e1>autor</e1> generatora kluczy używa <e2>deasemblera</e2> do przeglądania surowego kodu asemblera.
Other,Other,,,A misty <e1>ridge</e1> uprises from the <e2>surge</e2>.,Mglisty <e1>grzbiet</e1> wznosi się od <e2>napływu</e2>.
Member,Collection,e1,e2,The <e1>student</e1> <e2>association</e2> is the voice of the undergraduate student population of the State University of New York at Buffalo.,<e1>student</e1> <e2>stowarzyszenie</e2> jest głosem populacji studentów studiów licencjackich na Uniwersytecie Stanowym Nowego Jorku w Buffalo.
Other,Other,,,This is the sprawling <e1>complex</e1> that is Peru's largest <e2>producer</e2> of silver.,To rozległy <e1>kompleks</e1> będący największym <e2>producentem</e2> srebra w Peru.
Cause,Effect,e2,e1,The current view is that the chronic <e1>inflammation</e1> in the distal part of the stomach caused by Helicobacter pylori <e2>infection</e2> results in an increased acid production from the non-infected upper corpus region of the stomach.,"Obecny pogląd jest taki, że przewlekłe <e1>zapalenie</e1> w dystalnej części żołądka wywołane przez <e2>infekcję</e2> Helicobacter pylori powoduje zwiększone wytwarzanie kwasu z niezainfekowanej górnej części ciała brzuch."
Entity,Destination,e1,e2,<e1>People</e1> have been moving back into <e2>downtown</e2>.,<e1>Ludzie</e1> wracają do <e2>centrum</e2>.
Content,Container,e1,e2,The <e1>lawsonite</e1> was contained in a <e2>platinum crucible</e2> and the counter-weight was a plastic crucible with metal pieces.,"<e1>lawsonit</e1> znajdował się w <e2>tyglu platynowym</e2>, a przeciwwagą był tygiel z tworzywa sztucznego z metalowymi elementami."
Entity,Destination,e1,e2,The solute was placed inside a beaker and 5 mL of the <e1>solvent</e1> was pipetted into a 25 mL glass <e2>flask</e2> for each trial.,"Substancję rozpuszczoną umieszczono w zlewce, a 5 ml <e1>rozpuszczalnika</e1> odpipetowano do 25 ml szklanej <e2>kolby</e2> dla każdej próby."
Member,Collection,e1,e2,The fifty <e1>essays</e1> collected in this <e2>volume</e2> testify to most of the prominent themes from Professor Quispel's scholarly career.,Pięćdziesiąt <e1>esejów</e1> zebranych w tym <e2>tomu</e2> świadczy o większości najważniejszych tematów z naukowej kariery profesora Quispela.
Other,Other,,,Their <e1>composer</e1> has sunk into <e2>oblivion</e2>.,Ich <e1>kompozytor</e1> zapadł w <e2>niepamięć</e2>.
Message,Topic,e1,e2,The Pulitzer Committee issues an official <e1>citation</e1> explaining the <e2>reasons</e2> for the award.,Komitet Pulitzera wydaje oficjalne <e1>cytat</e1> wyjaśniający <e2>powody</e2> przyznania nagrody.
Cause,Effect,e2,e1,The <e1>burst</e1> has been caused by water hammer <e2>pressure</e2>.,<e1>wybuch</e1> został spowodowany przez <e2>ciśnienie</e2> uderzenia hydraulicznego.
Instrument,Agency,e2,e1,Even commercial <e1>networks</e1> have moved into <e2>high-definition broadcast</e2>.,Nawet komercyjne <e1>sieci</e1> przeniosły się do <e2>transmisji w wysokiej rozdzielczości</e2>.
Message,Topic,e1,e2,It was a friendly <e1>call</e1> to remind them about the <e2>bill</e2> and make sure they have a copy of the invoice.,"To był przyjazny <e1>telefon</e1>, aby przypomnieć im o <e2>rachunku</e2> i upewnić się, że mają kopię faktury."
Instrument,Agency,e2,e1,"Texas-born <e1>virtuoso</e1> finds harmony, sophistication in Appalachian <e2>instrument</e2>.",Urodzony w Teksasie <e1>wirtuoz</e1> odnajduje harmonię i wyrafinowanie w <e2>instrumencie</e2> Appalachów.
